slug	attribution_class	verified	novel	novelty_markers	rules_wc	attribution_verbatim
stupidhouse	unverifiable				0	Stupidhouse is a Bughouse variant documented on chessvariants.com.
synochess	unverifiable				0	Designed by Corey Clark. Published via Shogun of Games. Official rules at shogunofgames.com.
tamerlane	unverifiable				0	
fog-of-war	named	confirmed	YES	hidden-info	138	Jens Bæk Nielsen and Torben Osted, 1989. Popularised on Chess.com. Public domain rules.
benedict	named	corrected	YES	conversion	115	C. S. Elliott, 1971. Named after Benedict Arnold. Public domain rules.
duck-chess	named	confirmed	YES	drops	92	Dr Tim Paulden, 2016. Public domain.
andernach	named	confirmed	YES	conversion	89	Created for a chess composition event in Andernach, Germany, 1993. Public domain rules.
einstein-chess	named	corrected	YES	mutation	74	Invented by B. Iqbal, 2005. Public domain.
dice-chess	named	corrected			143	Ancient origins (11th–14th century Europe, earlier roots in India/Burma). Modern codification by Anne Sunnucks, *The Encyclopaedia of Chess*, 1970. Public domain.
grid-chess	named	confirmed			139	Walter Stead, 1953. Published in fairy chess circles. Public domain.
madrasi	named	confirmed			128	Abdul Jabbar Karwatkar, 1979. Named after his home city of Madras (now Chennai), India. Public domain rules.
orda-chess	named	confirmed			108	Designed by Couch Tomato (2020). Popularised on Pychess. Public domain.
patrol	named	confirmed			105	Frederik Hendrik von Meyenfeldt, 1975. Public domain rules.
extinction	named	confirmed			89	R. Wayne Schmittberger, 1985. Public domain.
checkless	named	corrected			71	Traditional variant. Earliest documented reference in Max Lange, 1857. Public domain.
los-alamos	named	confirmed			61	Paul Stein and Mark Wells, Los Alamos National Laboratory, 1956. Public domain.
grand	named	confirmed			58	Christian Freeling, 1984. Public domain.
knightmate	named	confirmed			55	Bruce Zimov, 1972. Public domain.
gustav-iii-chess	named	unconfirmed			51	Created by Gustav Johan Billberg, 1839. Jocly implementation developed by Michel Gutierrez and Jean-Louis Cazaux. Source: chessvariants.com/play/jocly/gustav3-chess
berolina-chess	named	corrected			50	Invented by Edmund Hebermann in Berlin, 1926. Public domain.
minichess	named	confirmed			46	Martin Gardner, 1969 (Scientific American). Public domain.
capablanca	named	confirmed			44	José Raúl Capablanca, c. 1920. Public domain.
fischer-random	named	confirmed			37	Bobby Fischer, 1996. Public domain.
racing-kings	named	confirmed			28	Vernon R. Parton, 1961. Public domain.
no-castling	named	confirmed			24	Proposed by Vladimir Kramnik, 2019. Tested at Chess.com events. Public domain.
courier	named	confirmed			23	First documented 1202 (Wirnt von Gravenberg). Public domain.
almost-chess	named	confirmed			16	Ralph Betza, 1977. Public domain.
mini-hexchess	named	confirmed			13	Dave McCooey, 1997. Published on chessvariants.com. Public domain rules.
breakthrough	named	confirmed			0	Dan Troyka, 2000. Public domain.
empire	named	corrected			0	Designed by Corey Clark. Published 2019. Rules available via Shogun of Games and Lichess. Public domain rule set.
grasshopper	named	confirmed			0	Grasshopper invented by T. R. Dawson, *Fairy Chess Review* (1913, problem no. 1). Public domain. Implemented in Fairy-Stockfish and Zillions of Games.
nightrider	named	corrected			0	Nightrider piece invented by T. R. Dawson, 1925. Public domain. Rules in the public domain. Implemented in Fairy-Stockfish, Green Chess, and Zillions of Games.
s-chess	named	corrected			0	Designed by Yasser Seirawan and Jonathan Tisdall. Publicly released 2007. Open rules available at seirawanchess.com. Public domain rule set.
shako	named	corrected			0	Designed by Jean-Louis Cazaux. Published 2000. Cazaux, J.L. and Schmittberger, R., “A World of Chess,” McFarland, 2017. Public domain rule set.
shinobiplus	named	confirmed			0	Shinobi Chess+ was designed by Couch Tomato (2021). Rules documented from pychess.org/variants/shinobiplus.
spartan	named	confirmed			0	Designed by Steven Streetman. Published 2010. Official rules at spartanchess.com. Public domain rule set.
ultima	named	confirmed			0	Designed by Robert Abbott. Published in 1962 in Abbott’s New Card Games. Public domain.
absorption	resolvable		YES	absorption	233	Described in *The Encyclopedia of Chess Variants* by David Pritchard (1994). Also known as Cannibal Chess (though that name more properly refers to the replacement variant where capturing substitutes movement rather than adding it). Public domain.
turkish-great-chess-ii	resolvable		YES	hidden-info	46	Turkish Great Chess, Variation II (Atranj / Qatranj). Described by H. J. R. Murray in *A History of Chess*; source is Indian. Documented by John Ayer on chessvariants.com/large.dir/greatchessii.html.
turkish-great-chess-iii	resolvable		YES	hidden-info	38	Turkish Great Chess, Variation III. John Gollon's version, sourced from H. J. R. Murray's *A History of Chess*. Documented by John Ayer on chessvariants.com/large.dir/greatchessiii.html.
turkish-great-chess-iv	resolvable		YES	hidden-info	36	Turkish Great Chess, Variation IV. John Gollon's version, sourced from H. J. R. Murray's *A History of Chess*. Documented by John Ayer on chessvariants.com/large.dir/greatchessiv.html.
weak	resolvable				124	Ralph Betza, 1970s–80s. Published in *NOST-algia* newsletter. Public domain.
vierschach	resolvable				117	Invented by Dr. G. Arthur Lutze (1813–1870). Documented by Theodor Müller-Alfeld and Heinz Machatscheck. Rules documented from chessvariants.com/multiplayer.dir/vierschach.html (Jörg Knappen, 2002).
los-alamos-vierschach	resolvable				110	Los Alamos Vierschach was designed by Jörg Knappen as a non-competing entry to the 84 Squares Contest. HTML by Hans Bodlaender. Source: chessvariants.com/large.dir/contest84/losalamos4.html
chaturanga	resolvable				83	Rules transcribed from two sources via the Ludii Game Corpus, Maastricht University: - Manasollasa ruleset, citing Bock-Raming 1996 (Sanskrit scholarship on the 12th-century Manasollasa text) - al-Adli ruleset, citing H.J.R. Murray, *A History of Che
fanorona-chess	resolvable				59	Fanorona Chess was created by Peter Aronson, 2004. Source: chessvariants.com/other.dir/fanorona-chess.html
shatranj	resolvable				52	Rules documented in medieval Arabic manuscripts and in H.J.R. Murray, *A History of Chess* (Oxford University Press, 1913). Public domain.
balbos-chess	resolvable				47	Balbo’s Chess by M.G. Balbo, 1974. Documented at chessvariants.com/shape.dir/balbo.html (Hans Bodlaender and Fergus Duniho, from Pritchard’s *Encyclopedia of Chess Variants*).
spherical-chess	resolvable				40	Spherical Chess is a family of chess variants invented independently multiple times between 1950 and 2014. Surveyed by Fergus Duniho. Source: chessvariants.com/boardrules.dir/spherical.html (last modified July 29, 2021).
klein-bottle-chess	resolvable				23	Klein Bottle Chess invented by Alberto Monteiro. Source: chessvariants.com/shape.dir/x_klein.html (mirrored at oocities.org/albmont/x_klein.htm, which includes the fuller technical description used for this rewrite). Related to Möbius Strip Chess and
mobius-strip-chess	resolvable				23	Möbius Strip Chess invented by Alberto Monteiro. Source: chessvariants.com/shape.dir/x_moeb.html.
alice	resolvable				0	Alice Chess, invented by V. R. Parton, 1953. Published in *Alices Abenteuer im Schachland* and referenced in Hooper &amp; Whyld, *The Oxford Companion to Chess* (1987, p. 10) and Pritchard, *Encyclopedia of Chess Variants* (1994, pp. 3–5). Public dom
anti-king-chess-2	resolvable				0	
archchess	resolvable				0	Archchess (*Arcisacchiere*) by Francesco Piacenza, 1683. Rules documented at chessvariants.com/historic.dir/arch.html (Hans Bodlaender, from Gollon via Greenwood, 1997).
avalanche	resolvable				0	
birds-chess	resolvable				0	
byzantine-chess	resolvable				0	
carrera	resolvable				0	
centennial-chess	resolvable				0	Centennial Chess was created by John William Brown. Entry in the 1999 Large Variant Contest. Source: chessvariants.com/large.dir/contest/cenchess.html
chancellor-chess	resolvable				0	Chancellor Chess by Ben Foster, published 1889. Rules from chessvariants.com/large.dir/chancellor.html (Hans Bodlaender, 1997).
circular-chess	resolvable				0	
citadel-chess	resolvable				0	Citadel Chess documented at chessvariants.com/historic.dir/citadel.html (Hans Bodlaender, from Gollon/Murray/Pritchard).
congo	resolvable				0	Congo was invented by Demian Freeling in 1982. Rules copyright Mindsports, used with permission. Documented at chessvariants.com/ms.dir/congo.html (by Christian Freeling and Hans Bodlaender).
crazy-38s	resolvable				0	Crazy 38's was designed by Ben Good. Entry submitted to the 38 Squares Contest, January 1998. Source: chessvariants.com/38.dir/crazy/crazy38s.html
delirious-bughouse	resolvable				0	Delirious Bughouse was developed by Alberto Vieira Ferreira Monteiro and Carlos Eugenio Lossio Seiblitz Filho, with earlier assistance from Oscar Luiz Vieira Ferreira and Carlos Vieira Ferreira. Final form achieved around 1984. Source: chessvariants.
djambi	resolvable				0	
flip-chess	resolvable				0	Flip Chess was created by John William Brown, 1999. Described as an 'acclaimed 38 square variant.' Java applet implementation by Ed Friedlander. Source: chessvariants.com/play/erf/FlipChss.html
grande-acedrex	resolvable				0	Grande Acedrex is documented in the *Libro de los Juegos* by Alfonso X of Castile, c. 1283. Rules from chessvariants.com/historic.dir/acedrex.html (Hans Bodlaender, from Murray, Gollon, and Pritchard).
gygax	resolvable				0	Designed by Gary Gygax. Published in *Dragon Magazine* No. 100 (TSR Inc., August 1985), pages 34–40. Game rules are not subject to copyright.  Authoritative secondary source: Edward Jackman with Hans Bodlaender, *Dragonchess*, chessvariants.com (1995
hexapawn	resolvable				0	Hexapawn was invented by Martin Gardner, published in *Scientific American*, March 1962 (reprinted in *The Unexpected Hanging and Other Mathematical Diversions*). Chessvariants.com page written by Robert Price.
hole-chess	resolvable				0	Hole Chess was created by Gary K. Gifford, December 2003. Entry in the Chess Variants 44-Square Contest. Source: chessvariants.com/44.dir/hole-chess.html
hostage-chess	resolvable				0	
janus	resolvable				0	
kriegspiel	resolvable				0	
oblong-chess	resolvable				0	Oblong Chess is a historical Shatranj variant approximately one thousand years old. Written by Hans Bodlaender. Source: chessvariants.com/historic.dir/oblong.html (created November 1995).
pocket-knight	resolvable				0	
raumschach	resolvable				0	
rollerball	resolvable				0	Rollerball by Jean-Louis Cazaux, invented 1999, entered in the 40-squares contest. Rules and starting-position diagram documented at chessvariants.com/40.dir/rollerball/index.html.
shatranj-kamil	resolvable				0	Shatranj Kamil (War Machine version) documented at chessvariants.com/historic.dir/shkam2.html (Hans Bodlaender, from Gollon/Murray). Camel version at chessvariants.com/historic.dir/shkam1.html.
tandem-chess	resolvable				0	Rules documented from chessvariants.com/multiplayer.dir/tandem.html (Hans Bodlaender, 1996; edited John William Brown).
toroidal-byzantine	resolvable				0	Toroidal Byzantine Chess invented by Anatoly Khalfine and Ernst Saperow, circa 1999–2001. Source: chessvariants.org/shape.dir/toroidalbyzantinechess.html, including its overview text and interactive setup diagram. Byzantine Chess foundation: chessvar
toroidal-chess	resolvable				0	Gadsden's Toroidal Chess was invented around 1990 by Richard Gadsden and Phil Roberts. Source: chessvariants.com/other.dir/torus.html, including the inventor's own description and interactive setup diagram.
wildebeest	resolvable				0	Wildebeest Chess designed by R. Wayne Schmittberger. Published in *New Rules for Classic Games* (Wiley, 1992). Rules described as public domain by multiple open-source implementations (Jocly, zrflib). Primary sources: Wikipedia *(Wildebeest chess)*; 
yalta-chess	resolvable				0	
draughts	international		unverifiable	YES	hidden-info	150
draughts	ghanaian		unverifiable	YES	hidden-info	128
draughts	spantsiretti		unverifiable	YES	hidden-info	118
draughts	english		unverifiable	YES	hidden-info	115
go	phantom-go		unverifiable	YES	hidden-info	85
draughts	turkish-draughts		unverifiable			223
draughts	frisian		unverifiable			202
mancala	toguz-korgool		unverifiable			193
shogi	dobutsu		unverifiable			177
shogi	hasami-shogi		unverifiable			144
mancala	kalah		unverifiable			130
draughts	brazilian		unverifiable			127
go	standard		unverifiable			122
draughts	italian		unverifiable			118
draughts	russian		unverifiable			118
draughts	czech		unverifiable			115
draughts	diagonal		unverifiable			106
shogi	gorogoro-plus		unverifiable			103
go	toroidal-go		unverifiable			95
draughts	canadian		unverifiable			87
go	tibetan		unverifiable			82
go	stoical		unverifiable			76
draughts	spanish		unverifiable			75
nukes	asymmetric-powers		unverifiable			75
go	rengo		unverifiable			73
nukes	fallout		unverifiable			71
go	one-colour		unverifiable			70
go	capture-go		unverifiable			69
hex	standard		unverifiable			66
hex	y-game		unverifiable			61
draughts	thai		unverifiable			56
backgammon	hypergammon		unverifiable			49
xiangqi	manchu-plus		unverifiable			48
nukes	siege		unverifiable			39
asalto	royal-garrison		unverifiable			36
hex	y-large		unverifiable			34
hex	y-small		unverifiable			34
pachisi	seven-shell		unverifiable			28
backgammon	nackgammon		unverifiable			25
xiangqi	jieqi		unverifiable			23
go	13x13		unverifiable			16
go	9x9		unverifiable			7
agon	standard		unverifiable			0
asalto	standard		unverifiable			0
backgammon	acey-deucey		unverifiable			0
backgammon	chouette		unverifiable			0
backgammon	fevga		unverifiable			0
backgammon	nardi		unverifiable			0
backgammon	plakoto		unverifiable			0
backgammon	standard		unverifiable			0
chaupar	standard		unverifiable			0
dou-shou-qi	standard		unverifiable			0
dungeon-chess	compact		unverifiable			0
dungeon-chess	four-player		unverifiable			0
dungeon-chess	two-player		unverifiable			0
econopoly	standard		unverifiable			0
fanorona	standard		unverifiable			0
hex	13x13		unverifiable			0
hex	14x14		unverifiable			0
hex	19x19		unverifiable			0
hex	9x9		unverifiable			0
lattaque	dover-patrol		unverifiable			0
lattaque	tri-tactics		unverifiable			0
morris	morabaraba		unverifiable			0
morris	shax		unverifiable			0
nukes	standard		unverifiable			0
nyout	standard		unverifiable			0
pachisi	two-player		unverifiable			0
royal-ur	standard		unverifiable			0
senet	standard		unverifiable			0
shogi	annan-shogi		unverifiable			0
shogi	chu-shogi		unverifiable			0
shogi	maka-dai-dai-shogi		unverifiable			0
shogi	standard		unverifiable			0
shogi	tai-shogi		unverifiable			0
shogi	wa-shogi		unverifiable			0
stern-halma	super-chinese-checkers		unverifiable			0
surakarta	standard		unverifiable			0
tafl	brandubh		unverifiable			0
tafl	hnefatafl		unverifiable			0
tafl	standard		unverifiable			0
tafl	tawlbwrdd		unverifiable			0
xiangqi	janggi		unverifiable			0
xiangqi	standard		unverifiable			0
landlords-game	1904-original		named	YES	randomness	395
landlords-game	1906-commercial		named	YES	randomness	370
landlords-game	single-tax		named			363
draughts	lasca		named			287
draughts	bashni		named			217
mancala	sungka		named			202
go	ninuki-renju		named			192
mancala	congkak		named			191
mancala	pallanguzhi		named			162
mancala	oware		named			160
shogi	tori-shogi		named			152
draughts	alquerque		named			142
mancala	ayo		named			134
reversi	standard		named			134
go	renju		named			130
shogi	dai-shogi		named			127
draughts	dameo		named			113
draughts	pool		named			100
xiangqi	minixiangqi		named			100
shogi	tenjiku-shogi		named			86
reversi	six-by-six		named			83
reversi	anti-reversi		named			82
go	sunjang		named			62
go	gomoku		named			53
shogi	cannon-shogi		named			52
landlords-game	monarch-of-the-world		named			45
halma	standard-2p		named			0
halma	standard-4p		named			0
landlords-game	prosperity		named			0
lattaque	aviation		named			0
lattaque	standard		named			0
mancala	bao		named			0
pachisi	standard		named			0
shogi	kyoto-shogi		named			0
shogi	minishogi		named			0
stern-halma	standard-2p		named			0
stern-halma	standard-3p		named			0
stern-halma	standard-4p		named			0
stern-halma	standard-6p		named			0
draughts	german		resolvable	YES	hidden-info	112
shogi	sho-shogi		resolvable			50
shogi	sankaku-shogi		resolvable			46
shogi	hex-shogi-91		resolvable			21
shogi	mortal-shogi		resolvable			15
morris	lasker-morris		resolvable			0
morris	nine-mens-morris		resolvable			0
morris	six-mens-morris		resolvable			0
morris	three-mens-morris		resolvable			0
morris	twelve-mens-morris		resolvable			0
shogi	four-player-shogi		resolvable			0
shogi	heian-shogi		resolvable			0
shogi	judkins-shogi		resolvable			0
shogi	taikyoku-shogi		resolvable			0
shogi	yari-shogi		resolvable			0
xiangqi	quang-trung		resolvable			0
xiangqi	san-kwo-ki		resolvable			0
xiangqi	xiangqi-42		resolvable			0
xiangqi	yang-qi		resolvable			0
